num_processes,avg_burst_time,std_burst_time,min_burst_time,max_burst_time,avg_arrival_time,arrival_spread,avg_inter_arrival,avg_priority,std_priority,time_quantum,quantum_to_avg_burst,burst_variance_ratio,total_burst_time,system_load,expected_penalty_impact,priority_urgency_ratio,best_algorithm
3,10.183935855874495,10.807051088063254,1.7789787979922806,25.441099023980154,0.7176663053195584,1.140688751689019,0.5703443758445095,6.333333333333333,3.7712361663282534,9.471300389613118,0.9300235708132136,1.0611860916061566,30.551807567623484,0.9624448038032636,47.52503399408098,0.5862025129007649,FCFS
4,9.63981644444068,11.552886400167031,2.3235418369960454,29.633967128677742,1.2414326387623258,2.2868524594811603,0.7622841531603868,6.5,3.2015621187164243,8.57137014910531,0.8891632116136872,1.1984550190091665,38.55926577776272,0.9392963482191193,43.37917399998306,0.48508516950248853,FCFS
14,10.157757907711414,12.49823624248089,1.6738144688199459,37.042801728970176,1.2838825489737522,2.687183752419327,0.20670644249379438,7.214285714285714,3.384387925852038,7.058114303356243,0.6948496279870945,1.2304128879654306,142.2086107079598,0.9809867610431107,38.45436922205035,0.4627092867375833,SJF
11,9.955886749327151,12.805435376754476,1.4236706301194484,33.28993401665122,1.4479294988913383,2.201377940842954,0.2201377940842954,6.818181818181818,3.613564893518507,2.69613774642231,0.27080839851904936,1.2862174610031503,109.51475424259867,0.9769891266009803,41.63370822445899,0.5223286968292191,SJF
4,8.613398397295672,10.554764204543902,1.3933231862536364,26.854753875907235,1.542444483155855,2.0555814649233204,0.6851938216411068,7.25,3.031088913245535,4.164486895195578,0.4834894083737137,1.2253890645366823,34.45359358918269,0.9303201552662194,32.30024398985877,0.4123930494211613,FCFS
3,10.940645810253026,10.996804096210214,2.7171417722035875,26.483716060250806,1.4367291135649018,2.865801695417265,1.4329008477086325,6.666666666666667,3.39934634239519,7.968866043091333,0.7283725459445284,1.005132995522491,32.82193743075908,0.9196191035268894,47.40946517776311,0.5023664545411611,RR
5,8.821247873212906,13.09471560379431,1.717832388649318,34.99296239692423,1.4191569923373506,2.0802467140762184,0.5200616785190546,7.8,2.9933259094191533,3.2886739753368923,0.37281278370189136,1.4844516095685798,44.10623936606453,0.947961126768793,28.2279931942813,0.37890201385052574,SJF
4,8.77959348986011,11.042519799638791,2.073408447482255,27.89415725368974,1.9580017223361872,2.0449392982746444,0.6816464327582148,6.5,2.598076211353316,6.750794372193925,0.7689187865008417,1.2577484153898721,35.11837395944044,0.9230181216659551,39.50817070437049,0.3936479108111085,FCFS
6,11.409684793143752,12.293992477440932,1.4837104253039368,30.77005937196151,1.6541904149686346,2.731582583464433,0.5463165166928866,6.166666666666667,3.7155828016013257,7.206377133760636,0.6316017720394042,1.0775050056447286,68.45810875886251,0.9604706486787902,55.14680983352813,0.5929121491917009,SJF
14,10.557640840419454,13.24137234863333,1.037276781381797,34.119390262485126,1.6121011993089225,2.5142901543012632,0.19340693494625102,6.714285714285714,3.3685217493004562,9.997661102574648,0.9469597662670103,1.2541980304860656,147.80697176587236,0.9820000015680594,45.24703217322623,0.4943323321824569,SJF
